quarter,Categ_name,GT,DI,3m Bond,cci,CPI,vix,CS
2005Q4,Non-Alcoholic Beverages: 560,70.0,6264,4.530333333333334,-6.7333333333333325,78.8,12.873333333333335,2148
2005Q4,Air Travel: 203,69.33333333333333,6264,4.530333333333334,-6.7333333333333325,78.8,12.873333333333335,3435
2005Q4,Liquor: 406,58.66666666666666,6264,4.530333333333334,-6.7333333333333325,78.8,12.873333333333335,825
2005Q4,Drugs & Medications: 646,82.66666666666667,6264,4.530333333333334,-6.7333333333333325,78.8,12.873333333333335,652
2005Q4,Health Insurance: 249,63.0,6264,4.530333333333334,-6.7333333333333325,78.8,12.873333333333335,345
2005Q4,Audio Equipment: 361,90.33333333333331,6264,4.530333333333334,-6.7333333333333325,78.8,12.873333333333335,1379
2005Q4,Hobbies & Leisure: 65,93.33333333333331,6264,4.530333333333334,-6.7333333333333325,78.8,12.873333333333335,2007
2005Q4,Lottery & Sweepstakes: 364,39.66666666666666,6264,4.530333333333334,-6.7333333333333325,78.8,12.873333333333335,2461
2005Q4,Candy & Sweets: 906,83.0,6264,4.530333333333334,-6.7333333333333325,78.8,12.873333333333335,1754
2005Q4,Water Supply & Treatment: 1349,33.333333333333336,6264,4.530333333333334,-6.7333333333333325,78.8,12.873333333333335,861
2005Q4,Auto Insurance: 467,72.66666666666667,6264,4.530333333333334,-6.7333333333333325,78.8,12.873333333333335,630
2005Q4,Sporting Goods: 263,75.0,6264,4.530333333333334,-6.7333333333333325,78.8,12.873333333333335,630
2005Q4,Vehicle Parts & Accessories: 89,92.66666666666669,6264,4.530333333333334,-6.7333333333333325,78.8,12.873333333333335,1206
2005Q4,Camera & Photo Equipment: 573,88.0,6264,4.530333333333334,-6.7333333333333325,78.8,12.873333333333335,1169
2005Q4,Major Kitchen Appliances: 1293,83.33333333333333,6264,4.530333333333334,-6.7333333333333325,78.8,12.873333333333335,1382
2005Q4,Electricity: 658,75.33333333333333,6264,4.530333333333334,-6.7333333333333325,78.8,12.873333333333335,2705
2005Q4,Meat & Seafood: 909,39.0,6264,4.530333333333334,-6.7333333333333325,78.8,12.873333333333335,4026
2005Q4,Bicycles & Accessories: 1191,68.0,6264,4.530333333333334,-6.7333333333333325,78.8,12.873333333333335,236
2005Q4,Restaurants: 276,81.66666666666667,6264,4.530333333333334,-6.7333333333333325,78.8,12.873333333333335,15883
2005Q4,Automotive Industry: 1190,69.0,6264,4.530333333333334,-6.7333333333333325,78.8,12.873333333333335,9698
2005Q4,Vehicle Maintenance: 138,72.33333333333333,6264,4.530333333333334,-6.7333333333333325,78.8,12.873333333333335,4205
2005Q4,Education: 74,88.0,6264,4.530333333333334,-6.7333333333333325,78.8,12.873333333333335,2756
2005Q4,Home Financing: 466,68.33333333333333,6264,4.530333333333334,-6.7333333333333325,78.8,12.873333333333335,747
2005Q4,Baked Goods: 907,20.0,6264,4.530333333333334,-6.7333333333333325,78.8,12.873333333333335,2534
2005Q4,Clothing Accessories: 124,83.66666666666667,6264,4.530333333333334,-6.7333333333333325,78.8,12.873333333333335,1557
